"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Belize","BLZ","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Bermuda","BMU","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Brazil","BRA","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00394487054631","0.615248083216357","0.727665348402363","0.175413531447439","0.0211505108809765","0.914002489105627","0.833224617032526","1.0289562377022","1.01476932257543","1.18817146476416","1.73282508383251","4.34662169566647","4.00264991856418","3.66636566494391","2.99675057361796","2.44520920123166","3.27993952358127","2.77436442343765","3.01662610378196","2.77975032234119","2.81610120357641","2.94476612437636","2.9033256637841","2.7065472165483","2.57909354371277","2.51218667998861","2.71463479742911","2.64266069371732","2.58117960550261","2.54773850295088","2.23486077447182","2.24109103822688","2.14933913616024","2.04961588250923","",
"Barbados","BRB","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Brunei Darussalam","BRN","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Bhutan","BTN","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Botswana","BWA","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Central African Republic","CAF","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Canada","CAN","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.113360038774","16.6755676329451","15.4610375407238","17.6240703634494","19.3768306050206","17.4416200221042","16.1568820058381","14.3671127374774","12.7153723875263","12.6763697330564","12.00556749349","12.9867600916414","12.5473478555575","12.6884624311929","15.0504529106168","14.8152202081922","16.0476495477978","14.8772351978815","15.1553175403624","14.7946280774587","15.0226106380193","14.7676581832068","14.997636412216","15.7192810760456","16.2766175343837","15.4637969530811","15.2426479759674","15.2751284375033","15.2869402900134","15.5072175058997","15.061206522356","14.3102561290053","13.2465706415945","14.0674121092824","",
"Central Europe and the Baltics","CEB","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.2642043812496","17.3958934174531","17.1705570467406","17.3692802122124","17.1677138467663","17.4324979474698","17.9353316824007","18.5014864694387","18.7301212500443","18.383134066019","18.9951175627173","19.8480512447517","21.6294911780933","21.2871362689838","21.1427279480637","20.6363871066854","20.294559575177","19.6270438099372","21.2226671418688","21.9741079056319","19.205542979013","19.5133283606346","20.1318506006006","19.867357105289","20.3750934529531","19.3054130336925","18.6032651000804","19.2939915099456","19.4803306307036","20.5524305264042","21.4292411970102","19.6959555185059","19.9700162412027","20.495934295414","",
"Switzerland","CHE","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.0764054544807","39.4259507368855","39.2954701613849","37.8454157955301","36.7443894787645","39.4958116512248","43.7236965670759","40.272934761935","40.6970331973089","37.0636093613236","39.167654028436","37.0148965250645","40.56844080976","40.7879507345303","41.1039109552489","39.1312365879828","43.4278310281308","41.1115200588885","40.1804493827877","40.4417242437079","38.8394897883949","41.3320334865296","36.4280702759203","37.0164644220361","38.4107160280445","34.1139446233858","33.4758105369808","32.2946714426094","36.9134605645826","35.9488330951895","33.529658060014","29.3214410103427","36.7843925617947","33.0062130297657","",
"Channel Islands","CHI","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"China","CHN","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.191317022086143","1.58966652123093","1.27322370757823","1.32729763756202","1.26931528460552","1.20770877944325","1.20563549305725","1.23453056564026","1.17978404387997","1.51901504324843","2.26831802088703","2.29039955489035","2.12312424963987","1.91360363774157","1.893174151911","1.97260890318803","1.88782902891769","1.7557063426674","1.83109364533105","1.95020269140546","2.04897997098351","2.27834296953672","2.91735811767037","3.44020279239554","3.69438320316293","4.12103415964764","4.64194012322985","4.7164289812073","4.7391624959545","4.66754176208346","4.55321475479548","",
"Cote d'Ivoire","CIV","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Cameroon","CMR","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Congo, Dem. Rep.","COD","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Congo, Rep.","COG","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Colombia","COL","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Comoros","COM","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Cabo Verde","CPV","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Costa Rica","CRI","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Caribbean small states","CSS","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Cuba","CUB","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Curacao","CUW","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Cayman Islands","CYM","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Cyprus","CYP","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Czechia","CZE","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.1170095429914","20.0436161776368","20.6601116489299","21.444948285525","22.1054424665701","20.0995940637994","19.9978212490468","19.3411560729434","20.2389728467871","20.6464277985594","18.4983529796096","19.7583292027811","24.5428825902447","31.0860658199863","31.2155384013376","29.9450216764756","30.8744562060668","29.6741422707998","31.7417241502983","33.105797894993","32.5925753466119","32.3319272494484","34.6885080875792","35.3744549146848","35.2010493569206","31.9947074810471","28.9332485085645","32.5526098143724","33.9868464395652","34.7515367380939","36.8517246455032","36.1477386343586","36.5598114319387","39.4914549893512","",
"Germany","DEU","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.7206985264038","27.2831215231064","29.5465793439634","29.1246418229218","28.4796658855545","28.4934969215536","28.8123996168334","30.8814730742593","29.0521268240255","30.5597699083228","29.4177537495035","29.2126956409041","28.0967591282679","27.0920598237851","27.0301535912657","26.1677638441762","26.1311266430667","21.9121480871659","23.1581623184518","22.6217959357485","22.2005307050796","17.6100064750466","15.8296647854417","15.2324796735875","15.4711805876338","14.1577550211396","13.0116273527978","11.6752814265369","11.8671034306164","12.3692366501515","11.1878803465737","11.6616256100297","5.99517401360051","1.40970264573211","",
"Djibouti","DJI","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Dominica","DMA","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Denmark","DNK","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Dominican Republic","DOM","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Algeria","DZA","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"East Asia & Pacific (excluding high income)","EAP","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.153162607316475","1.26984017706852","1.0098887729454","1.04581894888558","0.99621496353845","0.95027692821972","0.95059742208713","0.972526275089327","0.934908009081129","1.21634984868602","1.84423787021069","1.88845113106507","1.77332781880758","1.61974664401626","1.62116821835836","1.69322576970194","1.62149512420897","1.51528410033498","1.59541557344209","1.69639430149325","1.79165839820053","1.9944780655575","2.53912247330263","2.98388470862774","3.22176552108982","3.59075855008888","4.04731151533583","4.13551550978371","4.18399762054341","4.09364243195725","","",
"Early-demographic dividend","EAR","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.98911498211453","2.02357496248622","1.96931561358425","1.74055718583755","1.7997014261665","2.1202715390136","2.08212210130802","2.23094546267322","2.1754165903587","2.12181670303376","2.1153504960631","2.13544199570342","2.06550035094713","2.00753376854618","1.90641298938745","1.75611783983804","1.6867285482649","1.5838704625","1.45827983774387","1.60645160226505","1.56278988811929","1.83290852490132","1.7069042067772","1.88734209690936","1.79150467967423","1.72289058322819","1.8650195196009","1.82459471692554","1.75367840053975","1.92777998919757","1.82972937737521","2.01891980067936","1.99374014500723","1.63452427768701","",
"East Asia & Pacific","EAS","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7463841192858","13.7509990051644","13.4118284977302","13.848764387647","14.0935399318334","14.2946175936298","14.2683034095998","14.2440608847157","14.8154633072208","14.1742378462512","13.5738185816198","12.9160401062583","11.9599687985916","10.4996159146872","10.6986379008645","10.7340719969086","9.93936555911983","8.4926230699924","8.3813840783379","8.34356336958545","7.71445061640532","5.00359857457687","3.79341821966438","3.53920844503444","3.71802397296764","4.24438702461649","4.49990403602752","4.50816864970202","4.94023483912238","5.41630197046857","5.35704630717585","5.4863790835507","5.37143209803304","13.8704264935664","",
"Europe & Central Asia (excluding high income)","ECA","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.664816842176","10.9194416668605","11.5467294182484","12.6313615944024","12.3669637099454","13.0067818833913","15.2294618617278","15.111255311968","14.3795914165661","13.770553307195","14.3013179144077","13.9651567944251","14.0678013627569","13.8387842364892","14.1273540840013","14.0614959862509","13.6326002131539","13.6023916292975","12.9681717662464","12.4907326303537","12.4609753179084","12.1853421584751","11.8202931859247","10.6923252149267","11.5168723879099","11.5100738192725","10.2943200838775","10.6264624639597","9.98799693963542","9.96781842689623","9.23214205837509","10.1982059256759","8.31387418749616","","",
"Europe & Central Asia","ECS","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.1560203707576","22.7232682178608","23.45594979516","24.7491802050192","24.512221376937","24.8065237532421","25.9725420754508","26.1572381425728","25.5254991195627","25.6816124590856","25.2176310372567","25.5883341702876","25.7595205111885","25.4666459145402","25.1395038218809","24.5822047089633","24.1686093162331","22.9233197928872","22.7414602169089","22.8874612808625","22.5330107611902","22.4798587489657","21.8519183188444","21.6590607102355","22.2504021087278","21.8817896999542","21.1376127809665","20.9286483769486","20.823167948601","21.0186186802853","19.8886722780054","20.087957180265","18.1023921289029","18.833578255497","",
"Ecuador","ECU","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Egypt, Arab Rep.","EGY","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
